date,state,fips,cases,deaths
3/31/2020,TUMBES,24,3,0
4/1/2020,APURIMAC,03,1,0
4/1/2020,CAJAMARCA,06,1,0
4/1/2020,CALLAO,07,22,0
4/1/2020,CUSCO,08,4,0
4/1/2020,JUNIN,12,2,0
4/1/2020,LA LIBERTAD,13,7,0
4/1/2020,LAMBAYEQUE,14,1,0
4/1/2020,LIMA,15,61,0
4/1/2020,LORETO,15,11,0
4/1/2020,MADRE DE DIOS,17,1,0
4/1/2020,PIURA,20,4,0
4/1/2020,TUMBES,24,2,0
4/2/2020,ANCASH,02,2,0
4/2/2020,AREQUIPA,04,7,0
4/2/2020,CAJAMARCA,06,1,0
4/2/2020,CALLAO,07,6,0
4/2/2020,CUSCO,08,7,0
4/2/2020,LA LIBERTAD,13,7,0
4/2/2020,LAMBAYEQUE,14,5,0
4/2/2020,LIMA,15,170,0
4/2/2020,LORETO,15,9,0
4/2/2020,PIURA,20,1,0
4/2/2020,TUMBES,24,6,0
4/2/2020,UCAYALI,25,1,0
4/3/2020,ANCASH,02,1,0
4/3/2020,CAJAMARCA,06,2,0
4/3/2020,CALLAO,07,14,0
4/3/2020,CUSCO,08,4,0
4/3/2020,HUANCAVELICA,09,1,0
4/3/2020,ICA,11,4,0
4/3/2020,JUNIN,12,8,0
4/3/2020,LA LIBERTAD,13,5,0
4/3/2020,LAMBAYEQUE,14,31,0
4/3/2020,LIMA,15,180,0
4/3/2020,LORETO,15,25,0
4/3/2020,PASCO,19,1,0
4/3/2020,PIURA,20,2,0
4/3/2020,SAN MARTIN,22,3,0
4/3/2020,TUMBES,24,5,0
4/3/2020,UCAYALI,25,1,0
4/4/2020,ANCASH,02,9,0
4/4/2020,AREQUIPA,04,14,0
4/4/2020,AYACUCHO,05,2,0
4/4/2020,CALLAO,07,174,0
4/4/2020,CUSCO,08,11,0
4/4/2020,ICA,11,5,0
4/4/2020,LA LIBERTAD,13,1,0
4/4/2020,LAMBAYEQUE,14,49,0
4/4/2020,LIMA,15,491,0
4/4/2020,LORETO,15,40,0
4/4/2020,MOQUEGUA,18,1,0
4/4/2020,PASCO,19,1,0
4/4/2020,PIURA,20,5,0
4/4/2020,TACNA,23,6,0
4/4/2020,TUMBES,24,10,0
4/4/2020,UCAYALI,25,6,0
4/5/2020,AMAZONAS,01,4,0
4/5/2020,ANCASH,02,7,0
4/5/2020,AREQUIPA,04,9,0
4/5/2020,AYACUCHO,05,2,0
4/5/2020,CALLAO,07,48,0
4/5/2020,CUSCO,08,2,0
4/5/2020,HUANCAVELICA,09,1,0
4/5/2020,HUANUCO,10,1,0
4/5/2020,ICA,11,4,0
4/5/2020,JUNIN,12,4,0
4/5/2020,LA LIBERTAD,13,7,0
4/5/2020,LAMBAYEQUE,14,8,0
4/5/2020,LIMA,15,311,0
4/5/2020,LORETO,15,31,0
4/5/2020,PASCO,19,2,0
4/5/2020,PIURA,20,1,0
4/6/2020,AMAZONAS,01,1,0
4/6/2020,ANCASH,02,13,0
4/6/2020,AREQUIPA,04,7,0
4/6/2020,CALLAO,07,66,0
4/6/2020,CUSCO,08,1,0
4/6/2020,HUANCAVELICA,09,5,0
4/6/2020,HUANUCO,10,3,0
4/6/2020,ICA,11,7,0
4/6/2020,LA LIBERTAD,13,4,0
4/6/2020,LAMBAYEQUE,14,28,0
4/6/2020,LIMA,15,478,0
4/6/2020,LORETO,15,10,0
4/6/2020,MOQUEGUA,18,1,0
4/6/2020,PIURA,20,8,0
4/6/2020,PUNO,21,1,0
4/6/2020,TUMBES,24,4,0
4/6/2020,UCAYALI,25,5,0
4/7/2020,AMAZONAS,01,3,0
4/7/2020,ANCASH,02,26,0
4/7/2020,AREQUIPA,04,4,0
4/7/2020,CAJAMARCA,06,3,0
4/7/2020,CALLAO,07,51,0
4/7/2020,HUANCAVELICA,09,1,0
4/7/2020,HUANUCO,10,2,0
4/7/2020,ICA,11,9,0
4/7/2020,JUNIN,12,13,0
4/7/2020,LA LIBERTAD,13,21,0
4/7/2020,LAMBAYEQUE,14,156,0
4/7/2020,LIMA,15,625,0
4/7/2020,LORETO,15,96,0
